Orthogroup	adv	ath	aza	azd	azi	bced	bvi	cyq	cza	dor	eba	lcm	magx	parb	rrz	shd	sscu	tmz
OG0020386	adv_AWL27538.1																	
OG0020387	adv_AWL27539.1																	
OG0020388	adv_AWL27540.1																	
OG0020389	adv_AWL27541.1																	
OG0020390	adv_AWL27543.1																	
OG0020391	adv_AWL27549.1																	
OG0020392	adv_AWL27550.1																	
OG0020393	adv_AWL27551.1																	
OG0020394	adv_AWL27552.1																	
OG0020395	adv_AWL27557.1																	
OG0020396	adv_AWL27568.1																	
OG0020397	adv_AWL27580.1																	
OG0020398	adv_AWL27582.1																	
OG0020399	adv_AWL27585.1																	
OG0020400	adv_AWL27587.1																	
OG0020401	adv_AWL27590.1																	
OG0020402	adv_AWL27594.1																	
OG0020403	adv_AWL27601.1																	
OG0020404	adv_AWL27611.1																	
OG0020405	adv_AWL27615.1																	
OG0020406	adv_AWL27617.1																	
OG0020407	adv_AWL27628.1																	
OG0020408	adv_AWL27629.1																	
OG0020409	adv_AWL27638.1																	
OG0020410	adv_AWL27649.1																	
OG0020411	adv_AWL27660.1																	
OG0020412	adv_AWL27665.1																	
OG0020413	adv_AWL27669.1																	
OG0020414	adv_AWL27670.1																	
OG0020415	adv_AWL27672.1																	
OG0020416	adv_AWL27673.1																	
OG0020417	adv_AWL27674.1																	
OG0020418	adv_AWL27675.1																	
OG0020419	adv_AWL27676.1																	
OG0020420	adv_AWL27680.1																	
OG0020421	adv_AWL27681.1																	
OG0020422	adv_AWL27682.1																	
OG0020423	adv_AWL27683.1																	
OG0020424	adv_AWL27684.1																	
OG0020425	adv_AWL27687.1																	
OG0020426	adv_AWL27692.1																	
OG0020427	adv_AWL27696.1																	
OG0020428	adv_AWL27698.1																	
OG0020429	adv_AWL27701.1																	
OG0020430	adv_AWL27702.1																	
OG0020431	adv_AWL27704.1																	
OG0020432	adv_AWL27709.1																	
OG0020433	adv_AWL27710.1																	
OG0020434	adv_AWL27713.1																	
OG0020435	adv_AWL27716.1																	
OG0020436	adv_AWL27718.1																	
OG0020437	adv_AWL27720.1																	
OG0020438	adv_AWL27721.1																	
OG0020439	adv_AWL27724.1																	
OG0020440	adv_AWL27725.1																	
OG0020441	adv_AWL27730.1																	
OG0020442	adv_AWL27739.1																	
OG0020443	adv_AWL27740.1																	
OG0020444	adv_AWL27745.1																	
OG0020445	adv_AWL27758.1																	
OG0020446	adv_AWL27762.1																	
OG0020447	adv_AWL27765.1																	
OG0020448	adv_AWL27778.1																	
OG0020449	adv_AWL27796.1																	
OG0020450	adv_AWL27797.1																	
OG0020451	adv_AWL27798.1																	
OG0020452	adv_AWL27802.1																	
OG0020453	adv_AWL27803.1																	
OG0020454	adv_AWL27805.1																	
OG0020455	adv_AWL27807.1																	
OG0020456	adv_AWL27814.1																	
OG0020457	adv_AWL27816.1																	
OG0020458	adv_AWL27830.1																	
OG0020459	adv_AWL27833.1																	
OG0020460	adv_AWL27834.1																	
OG0020461	adv_AWL27844.1																	
OG0020462	adv_AWL27849.1																	
OG0020463	adv_AWL27851.1																	
OG0020464	adv_AWL27854.1																	
OG0020465	adv_AWL27865.1																	
OG0020466	adv_AWL27866.1																	
OG0020467	adv_AWL27867.1																	
OG0020468	adv_AWL27870.1																	
OG0020469	adv_AWL27885.1																	
OG0020470	adv_AWL27887.1																	
OG0020471	adv_AWL27888.1																	
OG0020472	adv_AWL27890.1																	
OG0020473	adv_AWL27891.1																	
OG0020474	adv_AWL27893.1																	
OG0020475	adv_AWL27914.1																	
OG0020476	adv_AWL27916.1																	
OG0020477	adv_AWL27923.1																	
OG0020478	adv_AWL27936.1																	
OG0020479	adv_AWL27938.1																	
OG0020480	adv_AWL27942.1																	
OG0020481	adv_AWL27944.1																	
OG0020482	adv_AWL27949.1																	
OG0020483	adv_AWL27955.1																	
OG0020484	adv_AWL27956.1																	
OG0020485	adv_AWL27960.1																	
OG0020486	adv_AWL27963.1																	
OG0020487	adv_AWL28005.1																	
OG0020488	adv_AWL28006.1																	
OG0020489	adv_AWL28007.1																	
OG0020490	adv_AWL28009.1																	
OG0020491	adv_AWL28010.1																	
OG0020492	adv_AWL28012.1																	
OG0020493	adv_AWL28013.1																	
OG0020494	adv_AWL28016.1																	
OG0020495	adv_AWL28017.1																	
OG0020496	adv_AWL28018.1																	
OG0020497	adv_AWL28024.1																	
OG0020498	adv_AWL28027.1																	
OG0020499	adv_AWL28028.1																	
OG0020500	adv_AWL28030.1																	
OG0020501	adv_AWL28037.1																	
OG0020502	adv_AWL28038.1																	
OG0020503	adv_AWL28039.1																	
OG0020504	adv_AWL28040.1																	
OG0020505	adv_AWL28043.1																	
OG0020506	adv_AWL28047.1																	
OG0020507	adv_AWL28048.1																	
OG0020508	adv_AWL28059.1																	
OG0020509	adv_AWL28069.1																	
OG0020510	adv_AWL28074.1																	
OG0020511	adv_AWL28076.1																	
OG0020512	adv_AWL28079.1																	
OG0020513	adv_AWL28091.1																	
OG0020514	adv_AWL28093.1																	
OG0020515	adv_AWL28095.1																	
OG0020516	adv_AWL28096.1																	
OG0020517	adv_AWL28099.1																	
OG0020518	adv_AWL28100.1																	
OG0020519	adv_AWL28102.1																	
OG0020520	adv_AWL28106.1																	
OG0020521	adv_AWL28107.1																	
OG0020522	adv_AWL28112.1																	
OG0020523	adv_AWL28116.1																	
OG0020524	adv_AWL28124.1																	
OG0020525	adv_AWL28130.1																	
OG0020526	adv_AWL28144.1																	
OG0020527	adv_AWL28159.1																	
OG0020528	adv_AWL28167.1																	
OG0020529	adv_AWL28168.1																	
OG0020530	adv_AWL28177.1																	
OG0020531	adv_AWL28179.1																	
OG0020532	adv_AWL28180.1																	
OG0020533	adv_AWL28181.1																	
OG0020534	adv_AWL28183.1																	
OG0020535	adv_AWL28191.1																	
OG0020536	adv_AWL28193.1																	
OG0020537	adv_AWL28195.1																	
OG0020538	adv_AWL28201.1																	
OG0020539	adv_AWL28202.1																	
OG0020540	adv_AWL28205.1																	
OG0020541	adv_AWL28207.1																	
OG0020542	adv_AWL28211.1																	
OG0020543	adv_AWL28226.1																	
OG0020544	adv_AWL28229.1																	
OG0020545	adv_AWL28234.1																	
OG0020546	adv_AWL28236.1																	
OG0020547	adv_AWL28238.1																	
OG0020548	adv_AWL28240.1																	
OG0020549	adv_AWL28241.1																	
OG0020550	adv_AWL28242.1																	
OG0020551	adv_AWL28244.1																	
OG0020552	adv_AWL28248.1																	
OG0020553	adv_AWL28249.1																	
OG0020554	adv_AWL28250.1																	
OG0020555	adv_AWL28253.1																	
OG0020556	adv_AWL28262.1																	
OG0020557	adv_AWL28269.1																	
OG0020558	adv_AWL28270.1																	
OG0020559	adv_AWL28272.1																	
OG0020560	adv_AWL28276.1																	
OG0020561	adv_AWL28277.1																	
OG0020562	adv_AWL28287.1																	
OG0020563	adv_AWL28289.1																	
OG0020564	adv_AWL28292.1																	
OG0020565	adv_AWL28296.1																	
OG0020566	adv_AWL28299.1																	
OG0020567	adv_AWL28300.1																	
OG0020568	adv_AWL28303.1																	
OG0020569	adv_AWL28307.1																	
OG0020570	adv_AWL28308.1																	
OG0020571	adv_AWL28309.1																	
OG0020572	adv_AWL28310.1																	
OG0020573	adv_AWL28314.1																	
OG0020574	adv_AWL28318.1																	
OG0020575	adv_AWL28327.1																	
OG0020576	adv_AWL28332.1																	
OG0020577	adv_AWL28336.1																	
OG0020578	adv_AWL28339.1																	
OG0020579	adv_AWL28341.1																	
OG0020580	adv_AWL28344.1																	
OG0020581	adv_AWL28346.1																	
OG0020582	adv_AWL28353.1																	
OG0020583	adv_AWL28361.1																	
OG0020584	adv_AWL28372.1																	
OG0020585	adv_AWL28375.1																	
OG0020586	adv_AWL28393.1																	
OG0020587	adv_AWL28396.1																	
OG0020588	adv_AWL28398.1																	
OG0020589	adv_AWL28400.1																	
OG0020590	adv_AWL28403.1																	
OG0020591	adv_AWL28405.1																	
OG0020592	adv_AWL28421.1																	
OG0020593	adv_AWL28432.1																	
OG0020594	adv_AWL28433.1																	
OG0020595	adv_AWL28434.1																	
OG0020596	adv_AWL28436.1																	
OG0020597	adv_AWL28442.1																	
OG0020598	adv_AWL28446.1																	
OG0020599	adv_AWL28450.1																	
OG0020600	adv_AWL28453.1																	
OG0020601	adv_AWL28456.1																	
OG0020602	adv_AWL28457.1																	
OG0020603	adv_AWL28474.1																	
OG0020604	adv_AWL28484.1																	
OG0020605	adv_AWL28488.1																	
OG0020606	adv_AWL28489.1																	
OG0020607	adv_AWL28491.1																	
OG0020608	adv_AWL28496.1																	
OG0020609	adv_AWL28497.1																	
OG0020610	adv_AWL28500.1																	
OG0020611	adv_AWL28501.1																	
OG0020612	adv_AWL28506.1																	
OG0020613	adv_AWL28515.1																	
OG0020614	adv_AWL28517.1																	
OG0020615	adv_AWL28519.1																	
OG0020616	adv_AWL28524.1																	
OG0020617	adv_AWL28530.1																	
OG0020618	adv_AWL28531.1																	
OG0020619	adv_AWL28547.1																	
OG0020620	adv_AWL28554.1																	
OG0020621	adv_AWL28556.1																	
OG0020622	adv_AWL28557.1																	
OG0020623	adv_AWL28562.1																	
OG0020624	adv_AWL28566.1																	
OG0020625	adv_AWL28569.1																	
OG0020626	adv_AWL28576.1																	
OG0020627	adv_AWL28589.1																	
OG0020628	adv_AWL28590.1																	
OG0020629	adv_AWL28597.1																	
OG0020630	adv_AWL28598.1																	
OG0020631	adv_AWL28609.1																	
OG0020632	adv_AWL28616.1																	
OG0020633	adv_AWL28629.1																	
OG0020634	adv_AWL28630.1																	
OG0020635	adv_AWL28633.1																	
OG0020636	adv_AWL28638.1																	
OG0020637	adv_AWL28640.1																	
OG0020638	adv_AWL28643.1																	
OG0020639	adv_AWL28645.1																	
OG0020640	adv_AWL28650.1																	
OG0020641	adv_AWL28661.1																	
OG0020642	adv_AWL28674.1																	
OG0020643	adv_AWL28675.1																	
OG0020644	adv_AWL28679.1																	
OG0020645	adv_AWL28681.1																	
OG0020646	adv_AWL28683.1																	
OG0020647	adv_AWL28684.1																	
OG0020648	adv_AWL28699.1																	
OG0020649	adv_AWL28702.1																	
OG0020650	adv_AWL28703.1																	
OG0020651	adv_AWL28708.1																	
OG0020652	adv_AWL28713.1																	
OG0020653	adv_AWL28718.1																	
OG0020654	adv_AWL28728.1																	
OG0020655	adv_AWL28749.1																	
OG0020656	adv_AWL28762.1																	
OG0020657	adv_AWL28766.1																	
OG0020658	adv_AWL28769.1																	
OG0020659	adv_AWL28772.1																	
OG0020660	adv_AWL28773.1																	
OG0020661	adv_AWL28774.1																	
OG0020662	adv_AWL28777.1																	
OG0020663	adv_AWL28779.1																	
OG0020664	adv_AWL28780.1																	
OG0020665	adv_AWL28781.1																	
OG0020666	adv_AWL28782.1																	
OG0020667	adv_AWL28783.1																	
OG0020668	adv_AWL28786.1																	
OG0020669	adv_AWL28812.1																	
OG0020670	adv_AWL28823.1																	
OG0020671	adv_AWL28824.1																	
OG0020672	adv_AWL28847.1																	
OG0020673	adv_AWL28848.1																	
OG0020674	adv_AWL28849.1																	
OG0020675	adv_AWL28850.1																	
OG0020676	adv_AWL28859.1																	
OG0020677	adv_AWL28860.1																	
OG0020678	adv_AWL28861.1																	
OG0020679	adv_AWL28862.1																	
OG0020680	adv_AWL28863.1																	
OG0020681	adv_AWL28892.1																	
OG0020682	adv_AWL28918.1																	
OG0020683	adv_AWL28921.1																	
OG0020684	adv_AWL28923.1																	
OG0020685	adv_AWL28924.1																	
OG0020686	adv_AWL28925.1																	
OG0020687	adv_AWL28932.1																	
OG0020688	adv_AWL28936.1																	
OG0020689	adv_AWL28937.1																	
OG0020690	adv_AWL28939.1																	
OG0020691	adv_AWL28945.1																	
OG0020692	adv_AWL28953.1																	
OG0020693	adv_AWL28954.1																	
OG0020694	adv_AWL28957.1																	
OG0020695	adv_AWL28959.1																	
OG0020696	adv_AWL28960.1																	
OG0020697	adv_AWL28961.1																	
OG0020698	adv_AWL28962.1																	
OG0020699	adv_AWL28966.1																	
OG0020700	adv_AWL28967.1																	
OG0020701	adv_AWL28970.1																	
OG0020702	adv_AWL28971.1																	
OG0020703	adv_AWL28972.1																	
OG0020704	adv_AWL28973.1																	
OG0020705	adv_AWL28974.1																	
OG0020706	adv_AWL28975.1																	
OG0020707	adv_AWL28978.1																	
OG0020708	adv_AWL28980.1																	
OG0020709	adv_AWL28981.1																	
OG0020710	adv_AWL28982.1																	
OG0020711	adv_AWL28983.1																	
OG0020712	adv_AWL28986.1																	
OG0020713	adv_AWL28989.1																	
OG0020714	adv_AWL28991.1																	
OG0020715	adv_AWL28993.1																	
OG0020716	adv_AWL28994.1																	
OG0020717	adv_AWL28995.1																	
OG0020718	adv_AWL28997.1																	
OG0020719	adv_AWL28998.1																	
OG0020720	adv_AWL29001.1																	
OG0020721	adv_AWL29002.1																	
OG0020722	adv_AWL29003.1																	
OG0020723	adv_AWL29004.1																	
OG0020724	adv_AWL29006.1																	
OG0020725	adv_AWL29007.1																	
OG0020726	adv_AWL29008.1																	
OG0020727	adv_AWL29009.1																	
OG0020728	adv_AWL29010.1																	
OG0020729	adv_AWL29012.1																	
OG0020730	adv_AWL29040.1																	
OG0020731	adv_AWL29045.1																	
OG0020732	adv_AWL29046.1																	
OG0020733	adv_AWL29047.1																	
OG0020734	adv_AWL29048.1																	
OG0020735	adv_AWL29050.1																	
OG0020736	adv_AWL29065.1																	
OG0020737	adv_AWL29068.1																	
OG0020738	adv_AWL29070.1																	
OG0020739	adv_AWL29072.1																	
OG0020740	adv_AWL29073.1																	
OG0020741	adv_AWL29074.1																	
OG0020742	adv_AWL29082.1																	
OG0020743	adv_AWL29085.1																	
OG0020744	adv_AWL29088.1																	
OG0020745	adv_AWL29090.1																	
OG0020746	adv_AWL29091.1																	
OG0020747	adv_AWL29098.1																	
OG0020748	adv_AWL29108.1																	
OG0020749	adv_AWL29112.1																	
OG0020750	adv_AWL29113.1																	
OG0020751	adv_AWL29122.1																	
OG0020752	adv_AWL29123.1																	
OG0020753	adv_AWL29124.1																	
OG0020754	adv_AWL29126.1																	
OG0020755	adv_AWL29127.1																	
OG0020756	adv_AWL29128.1																	
OG0020757	adv_AWL29132.1																	
OG0020758	adv_AWL29134.1																	
OG0020759	adv_AWL29138.1																	
OG0020760	adv_AWL29140.1																	
OG0020761	adv_AWL29145.1																	
OG0020762	adv_AWL29178.1																	
OG0020763	adv_AWL29179.1																	
OG0020764	adv_AWL29187.1																	
OG0020765	adv_AWL29189.1																	
OG0020766	adv_AWL29193.1																	
OG0020767	adv_AWL29194.1																	
OG0020768	adv_AWL29195.1																	
OG0020769	adv_AWL29198.1																	
OG0020770	adv_AWL29199.1																	
OG0020771	adv_AWL29211.1																	
OG0020772	adv_AWL29216.1																	
OG0020773	adv_AWL29218.1																	
OG0020774	adv_AWL29219.1																	
OG0020775	adv_AWL29220.1																	
OG0020776	adv_AWL29223.1																	
OG0020777	adv_AWL29225.1																	
OG0020778	adv_AWL29229.1																	
OG0020779	adv_AWL29230.1																	
OG0020780	adv_AWL29231.1																	
OG0020781	adv_AWL29233.1																	
OG0020782	adv_AWL29235.1																	
OG0020783	adv_AWL29236.1																	
OG0020784	adv_AWL29237.1																	
OG0020785	adv_AWL29238.1																	
OG0020786	adv_AWL29242.1																	
OG0020787	adv_AWL29243.1																	
OG0020788	adv_AWL29245.1																	
OG0020789	adv_AWL29246.1																	
OG0020790	adv_AWL29247.1																	
OG0020791	adv_AWL29248.1																	
OG0020792	adv_AWL29249.1																	
OG0020793	adv_AWL29250.1																	
OG0020794	adv_AWL29251.1																	
OG0020795	adv_AWL29252.1																	
OG0020796	adv_AWL29253.1																	
OG0020797	adv_AWL29255.1																	
OG0020798	adv_AWL29256.1																	
OG0020799	adv_AWL29257.1																	
OG0020800	adv_AWL29267.1																	
OG0020801	adv_AWL29268.1																	
OG0020802	adv_AWL29272.1																	
OG0020803	adv_AWL29279.1																	
OG0020804	adv_AWL29287.1																	
OG0020805	adv_AWL29293.1																	
OG0020806	adv_AWL29297.1																	
OG0020807	adv_AWL29309.1																	
OG0020808	adv_AWL29319.1																	
OG0020809	adv_AWL29327.1																	
OG0020810	adv_AWL29331.1																	
OG0020811	adv_AWL29332.1																	
OG0020812	adv_AWL29334.1																	
OG0020813	adv_AWL29336.1																	
OG0020814	adv_AWL29337.1																	
OG0020815	adv_AWL29338.1																	
OG0020816	adv_AWL29339.1																	
OG0020817	adv_AWL29340.1																	
OG0020818	adv_AWL29341.1																	
OG0020819	adv_AWL29342.1																	
OG0020820	adv_AWL29345.1																	
OG0020821	adv_AWL29346.1																	
OG0020822	adv_AWL29347.1																	
OG0020823	adv_AWL29348.1																	
OG0020824	adv_AWL29350.1																	
OG0020825	adv_AWL29351.1																	
OG0020826	adv_AWL29352.1																	
OG0020827	adv_AWL29354.1																	
OG0020828	adv_AWL29355.1																	
OG0020829	adv_AWL29356.1																	
OG0020830	adv_AWL29357.1																	
OG0020831	adv_AWL29358.1																	
OG0020832	adv_AWL29360.1																	
OG0020833	adv_AWL29361.1																	
OG0020834	adv_AWL29362.1																	
OG0020835	adv_AWL29365.1																	
OG0020836	adv_AWL29366.1																	
OG0020837	adv_AWL29367.1																	
OG0020838	adv_AWL29369.1																	
OG0020839	adv_AWL29370.1																	
OG0020840	adv_AWL29371.1																	
OG0020841	adv_AWL29372.1																	
OG0020842	adv_AWL29373.1																	
OG0020843	adv_AWL29374.1																	
OG0020844	adv_AWL29380.1																	
OG0020845	adv_AWL29395.1																	
OG0020846	adv_AWL29415.1																	
OG0020847	adv_AWL29416.1																	
OG0020848	adv_AWL29425.1																	
OG0020849	adv_AWL29434.1																	
OG0020850	adv_AWL29440.1																	
OG0020851	adv_AWL29442.1																	
OG0020852	adv_AWL29443.1																	
OG0020853	adv_AWL29450.1																	
OG0020854	adv_AWL29451.1																	
OG0020855	adv_AWL29454.1																	
OG0020856	adv_AWL29467.1																	
OG0020857	adv_AWL29473.1																	
OG0020858	adv_AWL29476.1																	
OG0020859	adv_AWL29477.1																	
OG0020860	adv_AWL29478.1																	
OG0020861	adv_AWL29481.1																	
OG0020862	adv_AWL29482.1																	
OG0020863	adv_AWL29483.1																	
OG0020864	adv_AWL29487.1																	
OG0020865	adv_AWL29493.1																	
OG0020866	adv_AWL29498.1																	
OG0020867	adv_AWL29499.1																	
OG0020868	adv_AWL29500.1																	
OG0020869	adv_AWL29504.1																	
OG0020870	adv_AWL29510.1																	
OG0020871	adv_AWL29516.1																	
OG0020872	adv_AWL29521.1																	
OG0020873	adv_AWL29522.1																	
OG0020874	adv_AWL29524.1																	
OG0020875	adv_AWL29526.1																	
OG0020876	adv_AWL29533.1																	
OG0020877	adv_AWL29538.1																	
OG0020878	adv_AWL29539.1																	
OG0020879	adv_AWL29559.1																	
OG0020880	adv_AWL29563.1																	
OG0020881	adv_AWL29567.1																	
OG0020882	adv_AWL29574.1																	
OG0020883	adv_AWL29580.1																	
OG0020884	adv_AWL29591.1																	
OG0020885	adv_AWL29600.1																	
OG0020886	adv_AWL29617.1																	
OG0020887	adv_AWL29623.1																	
OG0020888	adv_AWL29625.1																	
OG0020889	adv_AWL29628.1																	
OG0020890	adv_AWL29630.1																	
OG0020891	adv_AWL29631.1																	
OG0020892	adv_AWL29640.1																	
OG0020893	adv_AWL29644.1																	
OG0020894	adv_AWL29647.1																	
OG0020895	adv_AWL29650.1																	
OG0020896	adv_AWL29651.1																	
OG0020897	adv_AWL29652.1																	
OG0020898	adv_AWL29653.1																	
OG0020899	adv_AWL29656.1																	
OG0020900	adv_AWL29664.1																	
OG0020901	adv_AWL29667.1																	
OG0020902	adv_AWL29669.1																	
OG0020903	adv_AWL29671.1																	
OG0020904	adv_AWL29675.1																	
OG0020905	adv_AWL29676.1																	
OG0020906	adv_AWL29677.1																	
OG0020907	adv_AWL29683.1																	
OG0020908	adv_AWL29688.1																	
