Orthogroup	adv	ath	aza	azd	azi
OG0010340	adv_AWL27191.1				
OG0010341	adv_AWL27194.1				
OG0010342	adv_AWL27195.1				
OG0010343	adv_AWL27196.1				
OG0010344	adv_AWL27197.1				
OG0010345	adv_AWL27198.1				
OG0010346	adv_AWL27199.1				
OG0010347	adv_AWL27200.1				
OG0010348	adv_AWL27208.1				
OG0010349	adv_AWL27213.1				
OG0010350	adv_AWL27214.1				
OG0010351	adv_AWL27216.1				
OG0010352	adv_AWL27217.1				
OG0010353	adv_AWL27218.1				
OG0010354	adv_AWL27220.1				
OG0010355	adv_AWL27221.1				
OG0010356	adv_AWL27222.1				
OG0010357	adv_AWL27223.1				
OG0010358	adv_AWL27226.1				
OG0010359	adv_AWL27227.1				
OG0010360	adv_AWL27228.1				
OG0010361	adv_AWL27229.1				
OG0010362	adv_AWL27230.1				
OG0010363	adv_AWL27232.1				
OG0010364	adv_AWL27233.1				
OG0010365	adv_AWL27234.1				
OG0010366	adv_AWL27235.1				
OG0010367	adv_AWL27236.1				
OG0010368	adv_AWL27237.1				
OG0010369	adv_AWL27238.1				
OG0010370	adv_AWL27239.1				
OG0010371	adv_AWL27241.1				
OG0010372	adv_AWL27242.1				
OG0010373	adv_AWL27243.1				
OG0010374	adv_AWL27245.1				
OG0010375	adv_AWL27246.1				
OG0010376	adv_AWL27247.1				
OG0010377	adv_AWL27248.1				
OG0010378	adv_AWL27249.1				
OG0010379	adv_AWL27250.1				
OG0010380	adv_AWL27251.1				
OG0010381	adv_AWL27252.1				
OG0010382	adv_AWL27253.1				
OG0010383	adv_AWL27254.1				
OG0010384	adv_AWL27255.1				
OG0010385	adv_AWL27256.1				
OG0010386	adv_AWL27257.1				
OG0010387	adv_AWL27258.1				
OG0010388	adv_AWL27259.1				
OG0010389	adv_AWL27260.1				
OG0010390	adv_AWL27261.1				
OG0010391	adv_AWL27262.1				
OG0010392	adv_AWL27263.1				
OG0010393	adv_AWL27264.1				
OG0010394	adv_AWL27265.1				
OG0010395	adv_AWL27266.1				
OG0010396	adv_AWL27267.1				
OG0010397	adv_AWL27268.1				
OG0010398	adv_AWL27269.1				
OG0010399	adv_AWL27270.1				
OG0010400	adv_AWL27271.1				
OG0010401	adv_AWL27272.1				
OG0010402	adv_AWL27274.1				
OG0010403	adv_AWL27275.1				
OG0010404	adv_AWL27277.1				
OG0010405	adv_AWL27278.1				
OG0010406	adv_AWL27279.1				
OG0010407	adv_AWL27280.1				
OG0010408	adv_AWL27282.1				
OG0010409	adv_AWL27283.1				
OG0010410	adv_AWL27284.1				
OG0010411	adv_AWL27288.1				
OG0010412	adv_AWL27289.1				
OG0010413	adv_AWL27290.1				
OG0010414	adv_AWL27293.1				
OG0010415	adv_AWL27300.1				
OG0010416	adv_AWL27305.1				
OG0010417	adv_AWL27306.1				
OG0010418	adv_AWL27311.1				
OG0010419	adv_AWL27312.1				
OG0010420	adv_AWL27315.1				
OG0010421	adv_AWL27317.1				
OG0010422	adv_AWL27319.1				
OG0010423	adv_AWL27320.1				
OG0010424	adv_AWL27321.1				
OG0010425	adv_AWL27325.1				
OG0010426	adv_AWL27327.1				
OG0010427	adv_AWL27328.1				
OG0010428	adv_AWL27329.1				
OG0010429	adv_AWL27330.1				
OG0010430	adv_AWL27332.1				
OG0010431	adv_AWL27333.1				
OG0010432	adv_AWL27335.1				
OG0010433	adv_AWL27337.1				
OG0010434	adv_AWL27338.1				
OG0010435	adv_AWL27339.1				
OG0010436	adv_AWL27340.1				
OG0010437	adv_AWL27341.1				
OG0010438	adv_AWL27343.1				
OG0010439	adv_AWL27344.1				
OG0010440	adv_AWL27345.1				
OG0010441	adv_AWL27346.1				
OG0010442	adv_AWL27347.1				
OG0010443	adv_AWL27348.1				
OG0010444	adv_AWL27350.1				
OG0010445	adv_AWL27351.1				
OG0010446	adv_AWL27352.1				
OG0010447	adv_AWL27353.1				
OG0010448	adv_AWL27354.1				
OG0010449	adv_AWL27356.1				
OG0010450	adv_AWL27357.1				
OG0010451	adv_AWL27358.1				
OG0010452	adv_AWL27359.1				
OG0010453	adv_AWL27360.1				
OG0010454	adv_AWL27364.1				
OG0010455	adv_AWL27365.1				
OG0010456	adv_AWL27367.1				
OG0010457	adv_AWL27368.1				
OG0010458	adv_AWL27369.1				
OG0010459	adv_AWL27370.1				
OG0010460	adv_AWL27371.1				
OG0010461	adv_AWL27372.1				
OG0010462	adv_AWL27373.1				
OG0010463	adv_AWL27375.1				
OG0010464	adv_AWL27376.1				
OG0010465	adv_AWL27377.1				
OG0010466	adv_AWL27378.1				
OG0010467	adv_AWL27379.1				
OG0010468	adv_AWL27380.1				
OG0010469	adv_AWL27381.1				
OG0010470	adv_AWL27382.1				
OG0010471	adv_AWL27383.1				
OG0010472	adv_AWL27385.1				
OG0010473	adv_AWL27386.1				
OG0010474	adv_AWL27387.1				
OG0010475	adv_AWL27388.1				
OG0010476	adv_AWL27389.1				
OG0010477	adv_AWL27391.1				
OG0010478	adv_AWL27392.1				
OG0010479	adv_AWL27394.1				
OG0010480	adv_AWL27395.1				
OG0010481	adv_AWL27400.1				
OG0010482	adv_AWL27401.1				
OG0010483	adv_AWL27402.1				
OG0010484	adv_AWL27410.1				
OG0010485	adv_AWL27411.1				
OG0010486	adv_AWL27413.1				
OG0010487	adv_AWL27414.1				
OG0010488	adv_AWL27426.1				
OG0010489	adv_AWL27427.1				
OG0010490	adv_AWL27446.1				
OG0010491	adv_AWL27451.1				
OG0010492	adv_AWL27453.1				
OG0010493	adv_AWL27454.1				
OG0010494	adv_AWL27455.1				
OG0010495	adv_AWL27456.1				
OG0010496	adv_AWL27458.1				
OG0010497	adv_AWL27465.1				
OG0010498	adv_AWL27471.1				
OG0010499	adv_AWL27476.1				
OG0010500	adv_AWL27477.1				
OG0010501	adv_AWL27480.1				
OG0010502	adv_AWL27481.1				
OG0010503	adv_AWL27486.1				
OG0010504	adv_AWL27488.1				
OG0010505	adv_AWL27492.1				
OG0010506	adv_AWL27493.1				
OG0010507	adv_AWL27495.1				
OG0010508	adv_AWL27497.1				
OG0010509	adv_AWL27498.1				
OG0010510	adv_AWL27500.1				
OG0010511	adv_AWL27501.1				
OG0010512	adv_AWL27502.1				
OG0010513	adv_AWL27505.1				
OG0010514	adv_AWL27506.1				
OG0010515	adv_AWL27507.1				
OG0010516	adv_AWL27508.1				
OG0010517	adv_AWL27509.1				
OG0010518	adv_AWL27510.1				
OG0010519	adv_AWL27511.1				
OG0010520	adv_AWL27513.1				
OG0010521	adv_AWL27515.1				
OG0010522	adv_AWL27516.1				
OG0010523	adv_AWL27517.1				
OG0010524	adv_AWL27518.1				
OG0010525	adv_AWL27519.1				
OG0010526	adv_AWL27520.1				
OG0010527	adv_AWL27521.1				
OG0010528	adv_AWL27522.1				
OG0010529	adv_AWL27523.1				
OG0010530	adv_AWL27524.1				
OG0010531	adv_AWL27525.1				
OG0010532	adv_AWL27526.1				
OG0010533	adv_AWL27527.1				
OG0010534	adv_AWL27528.1				
OG0010535	adv_AWL27529.1				
OG0010536	adv_AWL27530.1				
OG0010537	adv_AWL27531.1				
OG0010538	adv_AWL27535.1				
OG0010539	adv_AWL27536.1				
OG0010540	adv_AWL27537.1				
OG0010541	adv_AWL27538.1				
OG0010542	adv_AWL27539.1				
OG0010543	adv_AWL27540.1				
OG0010544	adv_AWL27541.1				
OG0010545	adv_AWL27542.1				
OG0010546	adv_AWL27543.1				
OG0010547	adv_AWL27549.1				
OG0010548	adv_AWL27550.1				
OG0010549	adv_AWL27551.1				
OG0010550	adv_AWL27552.1				
OG0010551	adv_AWL27555.1				
OG0010552	adv_AWL27557.1				
OG0010553	adv_AWL27559.1				
OG0010554	adv_AWL27565.1				
OG0010555	adv_AWL27568.1				
OG0010556	adv_AWL27569.1				
OG0010557	adv_AWL27570.1				
OG0010558	adv_AWL27571.1				
OG0010559	adv_AWL27572.1				
OG0010560	adv_AWL27575.1				
OG0010561	adv_AWL27576.1				
OG0010562	adv_AWL27580.1				
OG0010563	adv_AWL27581.1				
OG0010564	adv_AWL27582.1				
OG0010565	adv_AWL27583.1				
OG0010566	adv_AWL27585.1				
OG0010567	adv_AWL27587.1				
OG0010568	adv_AWL27590.1				
OG0010569	adv_AWL27591.1				
OG0010570	adv_AWL27594.1				
OG0010571	adv_AWL27595.1				
OG0010572	adv_AWL27597.1				
OG0010573	adv_AWL27599.1				
OG0010574	adv_AWL27601.1				
OG0010575	adv_AWL27606.1				
OG0010576	adv_AWL27610.1				
OG0010577	adv_AWL27611.1				
OG0010578	adv_AWL27615.1				
OG0010579	adv_AWL27617.1				
OG0010580	adv_AWL27622.1				
OG0010581	adv_AWL27628.1				
OG0010582	adv_AWL27629.1				
OG0010583	adv_AWL27638.1				
OG0010584	adv_AWL27649.1				
OG0010585	adv_AWL27660.1				
OG0010586	adv_AWL27662.1				
OG0010587	adv_AWL27665.1				
OG0010588	adv_AWL27669.1				
OG0010589	adv_AWL27670.1				
OG0010590	adv_AWL27672.1				
OG0010591	adv_AWL27673.1				
OG0010592	adv_AWL27674.1				
OG0010593	adv_AWL27675.1				
OG0010594	adv_AWL27676.1				
OG0010595	adv_AWL27679.1				
OG0010596	adv_AWL27680.1				
OG0010597	adv_AWL27681.1				
OG0010598	adv_AWL27682.1				
OG0010599	adv_AWL27683.1				
OG0010600	adv_AWL27684.1				
OG0010601	adv_AWL27686.1				
OG0010602	adv_AWL27687.1				
OG0010603	adv_AWL27688.1				
OG0010604	adv_AWL27689.1				
OG0010605	adv_AWL27691.1				
OG0010606	adv_AWL27692.1				
OG0010607	adv_AWL27696.1				
OG0010608	adv_AWL27697.1				
OG0010609	adv_AWL27698.1				
OG0010610	adv_AWL27701.1				
OG0010611	adv_AWL27702.1				
OG0010612	adv_AWL27704.1				
OG0010613	adv_AWL27709.1				
OG0010614	adv_AWL27710.1				
OG0010615	adv_AWL27713.1				
OG0010616	adv_AWL27714.1				
OG0010617	adv_AWL27716.1				
OG0010618	adv_AWL27718.1				
OG0010619	adv_AWL27720.1				
OG0010620	adv_AWL27721.1				
OG0010621	adv_AWL27724.1				
OG0010622	adv_AWL27725.1				
OG0010623	adv_AWL27727.1				
OG0010624	adv_AWL27729.1				
OG0010625	adv_AWL27730.1				
OG0010626	adv_AWL27739.1				
OG0010627	adv_AWL27740.1				
OG0010628	adv_AWL27741.1				
OG0010629	adv_AWL27745.1				
OG0010630	adv_AWL27747.1				
OG0010631	adv_AWL27754.1				
OG0010632	adv_AWL27758.1				
OG0010633	adv_AWL27762.1				
OG0010634	adv_AWL27763.1				
OG0010635	adv_AWL27764.1				
OG0010636	adv_AWL27765.1				
OG0010637	adv_AWL27778.1				
OG0010638	adv_AWL27787.1				
OG0010639	adv_AWL27790.1				
OG0010640	adv_AWL27791.1				
OG0010641	adv_AWL27794.1				
OG0010642	adv_AWL27796.1				
OG0010643	adv_AWL27797.1				
OG0010644	adv_AWL27798.1				
OG0010645	adv_AWL27801.1				
OG0010646	adv_AWL27802.1				
OG0010647	adv_AWL27803.1				
OG0010648	adv_AWL27804.1				
OG0010649	adv_AWL27805.1				
OG0010650	adv_AWL27807.1				
OG0010651	adv_AWL27809.1				
OG0010652	adv_AWL27812.1				
OG0010653	adv_AWL27813.1				
OG0010654	adv_AWL27814.1				
OG0010655	adv_AWL27816.1				
OG0010656	adv_AWL27821.1				
OG0010657	adv_AWL27830.1				
OG0010658	adv_AWL27832.1				
OG0010659	adv_AWL27833.1				
OG0010660	adv_AWL27834.1				
OG0010661	adv_AWL27844.1				
OG0010662	adv_AWL27849.1				
OG0010663	adv_AWL27850.1				
OG0010664	adv_AWL27851.1				
OG0010665	adv_AWL27854.1				
OG0010666	adv_AWL27857.1				
OG0010667	adv_AWL27865.1				
OG0010668	adv_AWL27866.1				
OG0010669	adv_AWL27867.1				
OG0010670	adv_AWL27870.1				
OG0010671	adv_AWL27885.1				
OG0010672	adv_AWL27887.1				
OG0010673	adv_AWL27888.1				
OG0010674	adv_AWL27889.1				
OG0010675	adv_AWL27890.1				
OG0010676	adv_AWL27891.1				
OG0010677	adv_AWL27893.1				
OG0010678	adv_AWL27895.1				
OG0010679	adv_AWL27897.1				
OG0010680	adv_AWL27898.1				
OG0010681	adv_AWL27905.1				
OG0010682	adv_AWL27912.1				
OG0010683	adv_AWL27914.1				
OG0010684	adv_AWL27915.1				
OG0010685	adv_AWL27916.1				
OG0010686	adv_AWL27921.1				
OG0010687	adv_AWL27923.1				
OG0010688	adv_AWL27927.1				
OG0010689	adv_AWL27930.1				
OG0010690	adv_AWL27934.1				
OG0010691	adv_AWL27936.1				
OG0010692	adv_AWL27937.1				
OG0010693	adv_AWL27938.1				
OG0010694	adv_AWL27942.1				
OG0010695	adv_AWL27944.1				
OG0010696	adv_AWL27949.1				
OG0010697	adv_AWL27955.1				
OG0010698	adv_AWL27956.1				
OG0010699	adv_AWL27957.1				
OG0010700	adv_AWL27960.1				
OG0010701	adv_AWL27962.1				
OG0010702	adv_AWL27963.1				
OG0010703	adv_AWL27966.1				
OG0010704	adv_AWL28004.1				
OG0010705	adv_AWL28005.1				
OG0010706	adv_AWL28006.1				
OG0010707	adv_AWL28007.1				
OG0010708	adv_AWL28009.1				
OG0010709	adv_AWL28010.1				
OG0010710	adv_AWL28012.1				
OG0010711	adv_AWL28013.1				
OG0010712	adv_AWL28016.1				
OG0010713	adv_AWL28017.1				
OG0010714	adv_AWL28018.1				
OG0010715	adv_AWL28019.1				
OG0010716	adv_AWL28024.1				
OG0010717	adv_AWL28026.1				
OG0010718	adv_AWL28027.1				
OG0010719	adv_AWL28028.1				
OG0010720	adv_AWL28030.1				
OG0010721	adv_AWL28038.1				
OG0010722	adv_AWL28039.1				
OG0010723	adv_AWL28040.1				
OG0010724	adv_AWL28043.1				
OG0010725	adv_AWL28047.1				
OG0010726	adv_AWL28048.1				
OG0010727	adv_AWL28052.1				
OG0010728	adv_AWL28055.1				
OG0010729	adv_AWL28059.1				
OG0010730	adv_AWL28068.1				
OG0010731	adv_AWL28069.1				
OG0010732	adv_AWL28071.1				
OG0010733	adv_AWL28074.1				
OG0010734	adv_AWL28076.1				
OG0010735	adv_AWL28079.1				
OG0010736	adv_AWL28091.1				
OG0010737	adv_AWL28093.1				
OG0010738	adv_AWL28095.1				
OG0010739	adv_AWL28096.1				
OG0010740	adv_AWL28099.1				
OG0010741	adv_AWL28100.1				
OG0010742	adv_AWL28102.1				
OG0010743	adv_AWL28104.1				
OG0010744	adv_AWL28105.1				
OG0010745	adv_AWL28106.1				
OG0010746	adv_AWL28107.1				
OG0010747	adv_AWL28109.1				
OG0010748	adv_AWL28112.1				
OG0010749	adv_AWL28116.1				
OG0010750	adv_AWL28120.1				
OG0010751	adv_AWL28124.1				
OG0010752	adv_AWL28130.1				
OG0010753	adv_AWL28135.1				
OG0010754	adv_AWL28139.1				
OG0010755	adv_AWL28141.1				
OG0010756	adv_AWL28144.1				
OG0010757	adv_AWL28147.1				
OG0010758	adv_AWL28149.1				
OG0010759	adv_AWL28159.1				
OG0010760	adv_AWL28167.1				
OG0010761	adv_AWL28168.1				
OG0010762	adv_AWL28174.1				
OG0010763	adv_AWL28177.1				
OG0010764	adv_AWL28178.1				
OG0010765	adv_AWL28179.1				
OG0010766	adv_AWL28180.1				
OG0010767	adv_AWL28181.1				
OG0010768	adv_AWL28183.1				
OG0010769	adv_AWL28191.1				
OG0010770	adv_AWL28193.1				
OG0010771	adv_AWL28195.1				
OG0010772	adv_AWL28198.1				
OG0010773	adv_AWL28200.1				
OG0010774	adv_AWL28201.1				
OG0010775	adv_AWL28202.1				
OG0010776	adv_AWL28205.1				
OG0010777	adv_AWL28207.1				
OG0010778	adv_AWL28211.1				
OG0010779	adv_AWL28226.1				
OG0010780	adv_AWL28229.1				
OG0010781	adv_AWL28230.1				
OG0010782	adv_AWL28234.1				
OG0010783	adv_AWL28236.1				
OG0010784	adv_AWL28238.1				
OG0010785	adv_AWL28240.1				
OG0010786	adv_AWL28241.1				
OG0010787	adv_AWL28242.1				
OG0010788	adv_AWL28244.1				
OG0010789	adv_AWL28248.1				
OG0010790	adv_AWL28249.1				
OG0010791	adv_AWL28250.1				
OG0010792	adv_AWL28253.1				
OG0010793	adv_AWL28256.1				
OG0010794	adv_AWL28260.1				
OG0010795	adv_AWL28262.1				
OG0010796	adv_AWL28269.1				
OG0010797	adv_AWL28270.1				
OG0010798	adv_AWL28272.1				
OG0010799	adv_AWL28276.1				
OG0010800	adv_AWL28277.1				
OG0010801	adv_AWL28287.1				
OG0010802	adv_AWL28289.1				
OG0010803	adv_AWL28292.1				
OG0010804	adv_AWL28296.1				
OG0010805	adv_AWL28299.1				
OG0010806	adv_AWL28300.1				
OG0010807	adv_AWL28303.1				
OG0010808	adv_AWL28307.1				
OG0010809	adv_AWL28308.1				
OG0010810	adv_AWL28309.1				
OG0010811	adv_AWL28310.1				
OG0010812	adv_AWL28314.1				
OG0010813	adv_AWL28318.1				
OG0010814	adv_AWL28324.1				
OG0010815	adv_AWL28325.1				
OG0010816	adv_AWL28327.1				
OG0010817	adv_AWL28331.1				
OG0010818	adv_AWL28332.1				
OG0010819	adv_AWL28336.1				
OG0010820	adv_AWL28339.1				
OG0010821	adv_AWL28341.1				
OG0010822	adv_AWL28344.1				
OG0010823	adv_AWL28346.1				
OG0010824	adv_AWL28353.1				
OG0010825	adv_AWL28356.1				
OG0010826	adv_AWL28358.1				
OG0010827	adv_AWL28359.1				
OG0010828	adv_AWL28361.1				
OG0010829	adv_AWL28368.1				
OG0010830	adv_AWL28372.1				
OG0010831	adv_AWL28375.1				
OG0010832	adv_AWL28389.1				
OG0010833	adv_AWL28391.1				
OG0010834	adv_AWL28393.1				
OG0010835	adv_AWL28396.1				
OG0010836	adv_AWL28399.1				
OG0010837	adv_AWL28400.1				
OG0010838	adv_AWL28403.1				
OG0010839	adv_AWL28405.1				
OG0010840	adv_AWL28411.1				
OG0010841	adv_AWL28421.1				
OG0010842	adv_AWL28432.1				
OG0010843	adv_AWL28433.1				
OG0010844	adv_AWL28434.1				
OG0010845	adv_AWL28435.1				
OG0010846	adv_AWL28436.1				
OG0010847	adv_AWL28438.1				
OG0010848	adv_AWL28442.1				
OG0010849	adv_AWL28446.1				
OG0010850	adv_AWL28450.1				
OG0010851	adv_AWL28453.1				
OG0010852	adv_AWL28456.1				
OG0010853	adv_AWL28459.1				
OG0010854	adv_AWL28462.1				
OG0010855	adv_AWL28474.1				
OG0010856	adv_AWL28477.1				
OG0010857	adv_AWL28478.1				
OG0010858	adv_AWL28483.1				
OG0010859	adv_AWL28484.1				
OG0010860	adv_AWL28487.1				
OG0010861	adv_AWL28488.1				
OG0010862	adv_AWL28489.1				
OG0010863	adv_AWL28491.1				
OG0010864	adv_AWL28496.1				
OG0010865	adv_AWL28497.1				
OG0010866	adv_AWL28500.1				
OG0010867	adv_AWL28501.1				
OG0010868	adv_AWL28502.1				
OG0010869	adv_AWL28506.1				
OG0010870	adv_AWL28509.1				
OG0010871	adv_AWL28513.1				
OG0010872	adv_AWL28515.1				
OG0010873	adv_AWL28517.1				
OG0010874	adv_AWL28519.1				
OG0010875	adv_AWL28520.1				
OG0010876	adv_AWL28524.1				
OG0010877	adv_AWL28530.1				
OG0010878	adv_AWL28531.1				
OG0010879	adv_AWL28541.1				
OG0010880	adv_AWL28544.1				
OG0010881	adv_AWL28547.1				
OG0010882	adv_AWL28554.1				
OG0010883	adv_AWL28556.1				
OG0010884	adv_AWL28557.1				
OG0010885	adv_AWL28561.1				
OG0010886	adv_AWL28562.1				
OG0010887	adv_AWL28563.1				
OG0010888	adv_AWL28566.1				
OG0010889	adv_AWL28567.1				
OG0010890	adv_AWL28569.1				
OG0010891	adv_AWL28575.1				
OG0010892	adv_AWL28576.1				
OG0010893	adv_AWL28589.1				
OG0010894	adv_AWL28590.1				
OG0010895	adv_AWL28591.1				
OG0010896	adv_AWL28595.1				
OG0010897	adv_AWL28597.1				
OG0010898	adv_AWL28598.1				
OG0010899	adv_AWL28609.1				
OG0010900	adv_AWL28613.1				
OG0010901	adv_AWL28616.1				
OG0010902	adv_AWL28628.1				
OG0010903	adv_AWL28629.1				
OG0010904	adv_AWL28630.1				
OG0010905	adv_AWL28633.1				
OG0010906	adv_AWL28637.1				
OG0010907	adv_AWL28638.1				
OG0010908	adv_AWL28640.1				
OG0010909	adv_AWL28643.1				
OG0010910	adv_AWL28644.1				
OG0010911	adv_AWL28645.1				
OG0010912	adv_AWL28647.1				
OG0010913	adv_AWL28648.1				
OG0010914	adv_AWL28649.1				
OG0010915	adv_AWL28650.1				
OG0010916	adv_AWL28652.1				
OG0010917	adv_AWL28661.1				
OG0010918	adv_AWL28665.1				
OG0010919	adv_AWL28666.1				
OG0010920	adv_AWL28674.1				
OG0010921	adv_AWL28675.1				
OG0010922	adv_AWL28677.1				
OG0010923	adv_AWL28679.1				
OG0010924	adv_AWL28680.1				
OG0010925	adv_AWL28681.1				
OG0010926	adv_AWL28683.1				
OG0010927	adv_AWL28684.1				
OG0010928	adv_AWL28685.1				
OG0010929	adv_AWL28695.1				
OG0010930	adv_AWL28699.1				
OG0010931	adv_AWL28702.1				
OG0010932	adv_AWL28703.1				
OG0010933	adv_AWL28704.1				
OG0010934	adv_AWL28705.1				
OG0010935	adv_AWL28707.1				
OG0010936	adv_AWL28708.1				
OG0010937	adv_AWL28709.1				
OG0010938	adv_AWL28717.1				
OG0010939	adv_AWL28718.1				
OG0010940	adv_AWL28719.1				
OG0010941	adv_AWL28720.1				
OG0010942	adv_AWL28721.1				
OG0010943	adv_AWL28723.1				
OG0010944	adv_AWL28728.1				
OG0010945	adv_AWL28731.1				
OG0010946	adv_AWL28733.1				
OG0010947	adv_AWL28734.1				
OG0010948	adv_AWL28740.1				
OG0010949	adv_AWL28741.1				
OG0010950	adv_AWL28760.1				
OG0010951	adv_AWL28761.1				
OG0010952	adv_AWL28762.1				
OG0010953	adv_AWL28766.1				
OG0010954	adv_AWL28767.1				
OG0010955	adv_AWL28769.1				
OG0010956	adv_AWL28772.1				
OG0010957	adv_AWL28773.1				
OG0010958	adv_AWL28774.1				
OG0010959	adv_AWL28777.1				
OG0010960	adv_AWL28779.1				
OG0010961	adv_AWL28780.1				
OG0010962	adv_AWL28781.1				
OG0010963	adv_AWL28782.1				
OG0010964	adv_AWL28783.1				
OG0010965	adv_AWL28786.1				
OG0010966	adv_AWL28789.1				
OG0010967	adv_AWL28790.1				
OG0010968	adv_AWL28792.1				
OG0010969	adv_AWL28796.1				
OG0010970	adv_AWL28797.1				
OG0010971	adv_AWL28798.1				
OG0010972	adv_AWL28800.1				
OG0010973	adv_AWL28802.1				
OG0010974	adv_AWL28805.1				
OG0010975	adv_AWL28806.1				
OG0010976	adv_AWL28808.1				
OG0010977	adv_AWL28810.1				
OG0010978	adv_AWL28811.1				
OG0010979	adv_AWL28812.1				
OG0010980	adv_AWL28813.1				
OG0010981	adv_AWL28823.1				
OG0010982	adv_AWL28824.1				
OG0010983	adv_AWL28832.1				
OG0010984	adv_AWL28833.1				
OG0010985	adv_AWL28836.1				
OG0010986	adv_AWL28841.1				
OG0010987	adv_AWL28842.1				
OG0010988	adv_AWL28847.1				
OG0010989	adv_AWL28848.1				
OG0010990	adv_AWL28849.1				
OG0010991	adv_AWL28850.1				
OG0010992	adv_AWL28855.1				
OG0010993	adv_AWL28856.1				
OG0010994	adv_AWL28857.1				
OG0010995	adv_AWL28859.1				
OG0010996	adv_AWL28860.1				
OG0010997	adv_AWL28861.1				
OG0010998	adv_AWL28862.1				
OG0010999	adv_AWL28863.1				
OG0011000	adv_AWL28864.1				
OG0011001	adv_AWL28866.1				
OG0011002	adv_AWL28875.1				
OG0011003	adv_AWL28878.1				
OG0011004	adv_AWL28884.1				
OG0011005	adv_AWL28890.1				
OG0011006	adv_AWL28892.1				
OG0011007	adv_AWL28894.1				
OG0011008	adv_AWL28895.1				
OG0011009	adv_AWL28898.1				
OG0011010	adv_AWL28915.1				
OG0011011	adv_AWL28916.1				
OG0011012	adv_AWL28917.1				
OG0011013	adv_AWL28918.1				
OG0011014	adv_AWL28919.1				
OG0011015	adv_AWL28921.1				
OG0011016	adv_AWL28923.1				
OG0011017	adv_AWL28924.1				
OG0011018	adv_AWL28925.1				
OG0011019	adv_AWL28932.1				
OG0011020	adv_AWL28933.1				
OG0011021	adv_AWL28935.1				
OG0011022	adv_AWL28936.1				
OG0011023	adv_AWL28937.1				
OG0011024	adv_AWL28939.1				
OG0011025	adv_AWL28945.1				
OG0011026	adv_AWL28952.1				
OG0011027	adv_AWL28953.1				
OG0011028	adv_AWL28954.1				
OG0011029	adv_AWL28956.1				
OG0011030	adv_AWL28957.1				
OG0011031	adv_AWL28959.1				
OG0011032	adv_AWL28960.1				
OG0011033	adv_AWL28961.1				
OG0011034	adv_AWL28962.1				
OG0011035	adv_AWL28965.1				
